slow,fast,leverage,CAGR,Sharpe,Sortino,Vol,MDD,MDD_Entry,Trades_Year,Total_Trades,Max_Recovery_Days
0,0,3,0.148829,0.477891,0.680077,0.569035,-0.999056,-0.999056,0.000000,0,7279
50,2,3,0.160283,0.508552,0.727127,0.356232,-0.932867,-0.864999,11.558871,1113,5610
50,3,3,0.164651,0.519078,0.744732,0.355827,-0.884213,-0.833032,9.606429,925,5515
50,4,3,0.160353,0.508308,0.726786,0.357016,-0.942966,-0.889110,8.547125,823,5299
50,5,3,0.151355,0.486085,0.693855,0.358198,-0.918007,-0.855919,8.048630,775,4209
50,6,3,0.158610,0.503506,0.719130,0.358522,-0.892143,-0.867821,7.404739,713,2961
50,7,3,0.168423,0.526819,0.753425,0.358962,-0.858257,-0.820940,6.968556,671,3634
50,8,3,0.158441,0.501986,0.714614,0.361883,-0.891315,-0.818314,6.615454,637,4631
50,9,3,0.163491,0.513518,0.731416,0.363116,-0.852213,-0.818887,6.386977,615,3360
50,10,3,0.148623,0.477925,0.678326,0.363845,-0.876689,-0.823487,6.220812,599,3799
50,11,3,0.138418,0.453630,0.641158,0.363518,-0.902300,-0.883588,6.054647,583,3521
50,12,3,0.134436,0.443745,0.626910,0.364549,-0.911756,-0.894075,5.909252,569,5184
50,13,3,0.131055,0.435405,0.614772,0.365347,-0.928117,-0.915378,5.784628,557,3715
50,14,3,0.123121,0.415986,0.585949,0.367285,-0.951703,-0.943597,5.680775,547,4186
50,15,3,0.125999,0.422930,0.596043,0.367401,-0.945423,-0.936263,5.493839,529,4163
50,16,3,0.121689,0.412733,0.580151,0.366152,-0.941513,-0.914119,5.493839,529,5401
50,17,3,0.124047,0.418637,0.588319,0.364282,-0.907092,-0.896548,5.431527,523,4629
50,18,3,0.112716,0.390894,0.547022,0.365052,-0.955632,-0.948603,5.369215,517,4633
50,19,3,0.111114,0.386888,0.541511,0.365887,-0.962066,-0.955597,5.348444,515,4696
50,20,3,0.107890,0.378974,0.530122,0.365726,-0.949441,-0.943105,5.306903,511,4702
50,21,3,0.098847,0.356680,0.497775,0.366983,-0.964214,-0.959750,5.223820,503,6150
50,22,3,0.095995,0.349642,0.487534,0.367602,-0.967580,-0.964040,5.182279,499,6206
50,23,3,0.096063,0.349947,0.488111,0.369984,-0.969341,-0.963133,5.119967,493,6220
50,24,3,0.095717,0.349064,0.489499,0.374486,-0.943842,-0.934265,5.161508,497,5506
50,25,3,0.095510,0.348511,0.489201,0.375605,-0.947212,-0.945278,5.161508,497,6005
50,26,3,0.102138,0.364549,0.512908,0.377095,-0.921311,-0.912503,5.182279,499,6006
50,27,3,0.104676,0.370941,0.520522,0.377701,-0.957638,-0.953289,5.099196,491,6167
50,28,3,0.118856,0.404640,0.569327,0.377774,-0.939553,-0.930669,5.119967,493,5845
50,29,3,0.120822,0.409266,0.575875,0.378401,-0.939929,-0.915923,5.161508,497,5796
50,30,3,0.122177,0.412438,0.580106,0.378785,-0.942195,-0.919877,5.161508,497,5829
50,31,3,0.135754,0.444107,0.626550,0.379041,-0.904060,-0.874934,5.182279,499,4817
50,32,3,0.128035,0.426199,0.600398,0.378584,-0.887890,-0.862207,5.286132,509,5129
50,33,3,0.134255,0.440809,0.621799,0.377685,-0.888155,-0.868865,5.452298,525,5105
