slow,fast,leverage,CAGR,Sharpe,Sortino,Vol,MDD,MDD_Entry,Trades_Year,Total_Trades,Max_Recovery_Days
0,0,3,0.138666,0.450983,0.631648,0.610539,-0.999129,-0.999129,0.000000,0,6490
50,2,3,0.315417,0.808794,1.135081,0.372792,-0.827886,-0.746923,10.590276,567,4796
50,3,3,0.311084,0.799283,1.117855,0.373634,-0.774138,-0.659465,9.133412,489,2726
50,4,3,0.277158,0.726663,1.012300,0.376242,-0.815461,-0.662523,8.199526,439,4442
50,5,3,0.271721,0.716312,0.994101,0.375283,-0.840758,-0.707046,7.527127,403,4329
50,6,3,0.276369,0.725585,1.009372,0.375699,-0.795448,-0.623691,7.116217,381,4261
50,7,3,0.268549,0.707032,0.980537,0.378377,-0.845520,-0.682715,6.630596,355,4262
50,8,3,0.264178,0.696868,0.967564,0.379521,-0.869242,-0.731437,6.369108,341,4314
50,9,3,0.271129,0.711080,0.988499,0.379795,-0.831139,-0.721415,6.032908,323,3467
50,10,3,0.262521,0.691899,0.961173,0.381343,-0.865716,-0.753484,5.995553,321,4259
50,11,3,0.276961,0.721163,1.004481,0.381945,-0.838222,-0.736101,5.771420,309,2743
50,12,3,0.285675,0.738143,1.029151,0.382841,-0.803739,-0.704624,5.472576,293,2530
50,13,3,0.280768,0.724985,1.008031,0.386653,-0.788700,-0.604664,5.248444,281,1679
50,14,3,0.277018,0.716614,0.996916,0.387529,-0.781999,-0.596992,5.099022,273,1680
50,15,3,0.272438,0.706737,0.983105,0.388254,-0.833232,-0.713294,4.912244,263,2392
50,16,3,0.258693,0.678550,0.940911,0.388637,-0.873611,-0.740364,4.949600,265,3423
50,17,3,0.255620,0.671592,0.929005,0.389715,-0.894756,-0.783801,4.949600,265,2743
50,18,3,0.244768,0.649378,0.897763,0.389564,-0.907714,-0.814149,4.874889,261,3467
50,19,3,0.231877,0.622802,0.857478,0.389639,-0.905922,-0.810540,4.874889,261,4046
50,20,3,0.206050,0.568069,0.779338,0.390461,-0.924033,-0.824753,4.874889,261,4441
50,21,3,0.198407,0.551227,0.754394,0.392229,-0.937244,-0.816271,4.837533,259,5239
50,22,3,0.178618,0.508434,0.692933,0.393780,-0.948652,-0.849671,4.837533,259,6490
50,23,3,0.199783,0.553093,0.756574,0.395007,-0.937934,-0.823056,4.762822,255,5258
50,24,3,0.192909,0.538177,0.735858,0.396005,-0.955626,-0.863352,4.837533,259,6445
50,25,3,0.192268,0.536370,0.733165,0.397386,-0.936697,-0.805062,4.874889,261,5240
50,26,3,0.188612,0.528419,0.720476,0.399382,-0.943160,-0.801195,4.874889,261,5247
50,27,3,0.188553,0.527968,0.719443,0.400626,-0.937156,-0.748173,4.800178,257,5247
50,28,3,0.188012,0.526507,0.717391,0.401758,-0.934315,-0.750273,4.856211,260,5151
50,29,3,0.190816,0.532393,0.725834,0.401685,-0.938304,-0.763391,4.930922,264,5149
50,30,3,0.196815,0.544733,0.744308,0.401935,-0.910998,-0.725934,4.893567,262,4621
50,31,3,0.193736,0.538122,0.734716,0.402629,-0.898782,-0.769924,4.781500,256,4497
