slow,fast,leverage,CAGR,Sharpe,Sortino,Vol,MDD,MDD_Entry,Trades_Year,Total_Trades,Max_Recovery_Days
0,0,3,0.179964,0.565448,0.810191,0.777817,-0.999742,-0.999742,0.000000,0,6479
50,2,3,0.224520,0.598020,0.845391,0.490648,-0.900343,-0.825060,11.952667,481,5102
50,3,3,0.228511,0.604650,0.856760,0.490125,-0.893015,-0.836467,9.815600,395,4977
50,4,3,0.223842,0.596678,0.844964,0.491105,-0.913790,-0.855161,8.672518,349,5091
50,5,3,0.211338,0.575774,0.813337,0.491326,-0.873978,-0.788274,8.125826,327,4994
50,6,3,0.221210,0.591961,0.836593,0.493209,-0.875271,-0.811607,7.579134,305,4783
50,7,3,0.223851,0.595605,0.841756,0.496968,-0.892191,-0.858400,6.982743,281,4481
50,8,3,0.197270,0.551534,0.775103,0.498331,-0.928984,-0.864404,6.734247,271,5099
50,9,3,0.179633,0.521753,0.731585,0.499896,-0.906208,-0.820914,6.783946,273,5103
50,10,3,0.144912,0.462116,0.645387,0.500627,-0.933457,-0.888796,6.535450,263,5136
50,11,3,0.159865,0.488035,0.683490,0.503070,-0.940981,-0.882743,6.137856,247,5080
50,12,3,0.159485,0.487533,0.683153,0.505540,-0.938841,-0.845844,6.113007,246,5109
50,13,3,0.134218,0.444563,0.619576,0.508101,-0.928509,-0.842156,5.939059,239,5139
50,14,3,0.144280,0.462028,0.644800,0.509346,-0.911410,-0.783933,5.591165,225,5082
50,15,3,0.161509,0.491216,0.687448,0.508116,-0.911954,-0.802201,5.442067,219,5098
50,16,3,0.169515,0.504700,0.707147,0.508058,-0.933006,-0.849493,5.193571,209,5109
50,17,3,0.166602,0.500535,0.697989,0.511570,-0.947670,-0.814656,4.994774,201,5134
50,18,3,0.174518,0.513615,0.718143,0.509398,-0.920662,-0.718999,5.044473,203,4976
50,19,3,0.176683,0.517228,0.723283,0.508893,-0.918953,-0.720698,5.094172,205,4986
50,20,3,0.190265,0.539651,0.756066,0.510879,-0.940213,-0.793963,5.044473,203,5000
50,21,3,0.155020,0.481035,0.672098,0.515384,-0.952772,-0.852913,5.044473,203,6479
50,22,3,0.154630,0.480557,0.670991,0.516716,-0.960796,-0.877904,4.994774,201,6479
50,23,3,0.163339,0.494929,0.692190,0.514825,-0.962463,-0.883095,4.895375,197,6479
50,24,3,0.181064,0.524353,0.733967,0.514569,-0.936672,-0.809716,4.895375,197,5139
50,25,3,0.182658,0.527281,0.737142,0.516219,-0.939291,-0.817587,4.994774,201,6479
50,26,3,0.189482,0.538201,0.754732,0.516323,-0.920703,-0.786742,4.945074,199,5004
50,27,3,0.185374,0.531442,0.745403,0.517508,-0.896259,-0.734232,4.870526,196,4796
50,28,3,0.201780,0.558348,0.781957,0.520346,-0.880834,-0.712393,5.019623,202,4427
50,29,3,0.201258,0.557516,0.780894,0.520113,-0.902348,-0.730170,5.069323,204,4476
50,30,3,0.186642,0.534007,0.746580,0.520635,-0.877922,-0.777021,5.069323,204,4477
50,31,3,0.189128,0.537959,0.752895,0.520381,-0.883074,-0.737050,5.268120,212,4582
50,32,3,0.194240,0.545713,0.766600,0.524535,-0.918834,-0.737882,5.268120,212,4602
50,33,3,0.190431,0.540098,0.755077,0.522889,-0.954140,-0.837908,5.317819,214,4972
50,34,3,0.213414,0.576203,0.809874,0.524011,-0.947619,-0.843036,5.218420,210,4610
50,35,3,0.207124,0.566025,0.796934,0.524222,-0.922880,-0.813540,5.417217,218,4541
50,36,3,0.172321,0.510306,0.716502,0.525817,-0.955109,-0.886483,5.516616,222,5236
50,37,3,0.147063,0.470576,0.656296,0.531397,-0.961652,-0.874376,5.665713,228,6479
50,38,3,0.156647,0.486192,0.679059,0.531424,-0.939382,-0.826104,5.963909,240,4995
50,39,3,0.189578,0.538820,0.756504,0.533376,-0.939316,-0.827406,6.013608,242,4962
50,40,3,0.170624,0.508642,0.713212,0.534272,-0.947068,-0.854239,6.212405,250,6479
50,41,3,0.199826,0.554599,0.780625,0.536216,-0.934969,-0.825737,6.659698,268,4977
50,42,3,0.232389,0.604868,0.854827,0.532809,-0.904726,-0.794404,6.759097,272,4294
50,43,3,0.249909,0.631212,0.895137,0.532388,-0.933643,-0.850429,6.709397,270,4477
50,44,3,0.255878,0.640002,0.906390,0.533787,-0.941389,-0.847840,7.231240,291,4354
50,45,3,0.250067,0.631006,0.892276,0.536233,-0.950935,-0.872621,8.125826,327,4427
50,46,3,0.261142,0.646393,0.918909,0.539743,-0.949640,-0.851821,9.219209,371,3619
50,47,3,0.243290,0.619788,0.879059,0.543846,-0.910358,-0.756923,10.163495,409,4257
50,48,3,0.221418,0.586975,0.831916,0.545346,-0.910396,-0.778612,12.847254,517,4470
50,49,3,0.145475,0.470789,0.656167,0.540784,-0.964121,-0.903188,17.419584,701,6479
51,2,3,0.205963,0.567105,0.798370,0.490612,-0.945596,-0.887063,11.902968,479,6091
51,3,3,0.225138,0.598952,0.847958,0.490667,-0.881430,-0.818758,9.765901,393,4982
51,4,3,0.220426,0.591002,0.835753,0.491376,-0.909019,-0.847146,8.573119,345,5102
51,5,3,0.212238,0.577281,0.816252,0.490945,-0.888958,-0.813442,8.026427,323,5099
