crisis,strategy,NDX_drawdown,peak_to_trough,window_MaxDD,window_return,sig_at_peak,exit_date,reentry_date,days_to_exit,days_in_cash,recovery_date,days_to_recovery,whipsaws
1987 Black Monday,"Sym(11,237)",-0.3851611165395431,-0.7053831075406221,-0.7692601938263404,-0.7371122411561364,1,1987-10-22,1988-03-15,14.0,99.0,1995-07-07,1962.0,6
1987 Black Monday,"Sym(3,161)",-0.3851611165395431,-0.36250346074180206,-0.4762409557460954,-0.23979269562456773,1,1987-10-16,1988-03-03,10.0,95.0,1989-10-02,505.0,2
1987 Black Monday,P4 VolAdapt,-0.3851611165395431,-0.8302427413861546,-0.8341252444650405,-0.7337663609865828,1,1987-12-11,1988-04-18,49.0,87.0,1995-07-10,1963.0,2
1987 Black Monday,P5 Regime,-0.3851611165395431,-0.8263147743279458,-0.8342634170073175,-0.8164307159304127,1,1987-10-26,1988-03-24,16.0,104.0,1995-05-17,1927.0,6
1987 Black Monday,P6 VolRegime,-0.3851611165395431,-0.7585385427863466,-0.8309642607660562,-0.7026531933510571,1,1987-11-11,1988-05-09,28.0,123.0,1995-06-19,1949.0,4
1998 LTCM,"Sym(11,237)",-0.22990129300147366,-0.6103505605500059,-0.6103505605500059,1.0710039765125874,1,no exit,N/A,,,1998-11-23,89.0,0
1998 LTCM,"Sym(3,161)",-0.22990129300147366,-0.5678350741120393,-0.5798839919373507,0.5632883674760323,1,1998-09-01,1998-09-09,31.0,5.0,1998-12-21,108.0,4
1998 LTCM,P4 VolAdapt,-0.22990129300147366,-0.6103505605500057,-0.6103505605500057,1.0710039765125874,1,no exit,N/A,,,1998-11-23,89.0,0
1998 LTCM,P5 Regime,-0.22990129300147366,-0.6103505605500058,-0.6103505605500058,1.0710039765125905,1,no exit,N/A,,,1998-11-23,89.0,0
1998 LTCM,P6 VolRegime,-0.22990129300147366,-0.6103505605500057,-0.6103505605500057,1.0710039765125887,1,no exit,N/A,,,1998-11-23,89.0,0
2000-02 Dot-com,"Sym(11,237)",-0.8239826046164864,-0.7019354485253086,-0.798701063953684,-0.35570854388508155,1,2000-09-29,2003-03-24,141.0,619.0,2000-03-23,9.0,2
2000-02 Dot-com,"Sym(3,161)",-0.8239826046164864,-0.9264410430336766,-0.9692586837660164,-0.9339705455866151,1,2000-05-10,2000-05-16,42.0,4.0,2000-03-23,9.0,30
2000-02 Dot-com,P4 VolAdapt,-0.8239826046164864,-0.7642316926174582,-0.7987010639536839,-0.41852290123632996,1,2000-10-09,2003-02-03,147.0,579.0,2000-03-23,9.0,2
2000-02 Dot-com,P5 Regime,-0.8239826046164864,-0.6594100700737957,-0.7987010639536838,-0.3026675991251192,1,2000-09-28,2003-03-25,140.0,621.0,2000-03-23,9.0,2
2000-02 Dot-com,P6 VolRegime,-0.8239826046164864,-0.7882173914314902,-0.8446924806273648,-0.536417210796057,1,2000-11-02,2003-04-08,165.0,606.0,2000-03-23,9.0,2
2007-09 GFC,"Sym(11,237)",-0.5337743060575986,-0.5088068878274289,-0.5833099765418213,0.09475263872015804,1,2008-01-16,2008-05-12,52.0,80.0,2010-03-17,597.0,8
2007-09 GFC,"Sym(3,161)",-0.5337743060575986,-0.48850507938532517,-0.550964117039523,0.30515499542098135,1,2008-01-04,2008-05-02,44.0,82.0,2009-09-16,472.0,16
2007-09 GFC,P4 VolAdapt,-0.5337743060575986,-0.532236885853641,-0.6166441414932995,0.1180158835294236,1,2008-01-29,2008-06-23,60.0,101.0,2010-04-09,613.0,6
2007-09 GFC,P5 Regime,-0.5337743060575986,-0.528006606160125,-0.5795584171236572,0.5068131830756124,1,2008-01-18,2008-05-14,54.0,80.0,2009-12-23,541.0,12
2007-09 GFC,P6 VolRegime,-0.5337743060575986,-0.5280066061601243,-0.5514468011246038,-0.01471950674788114,1,2008-01-18,2008-05-14,54.0,80.0,2009-12-28,543.0,12
2018 Q4,"Sym(11,237)",-0.22838420930749126,-0.23556143350846914,-0.3440629351076038,-0.055342024545117385,1,2018-11-01,2019-02-20,23.0,73.0,2019-04-23,139.0,2
2018 Q4,"Sym(3,161)",-0.22838420930749126,-0.23684656490977252,-0.3366436531054776,-0.12637181143177822,1,2018-10-12,2018-10-16,9.0,2.0,2019-11-01,274.0,6
2018 Q4,P4 VolAdapt,-0.22838420930749126,-0.25568611951399145,-0.40833633099903544,-0.21539682517897762,1,2018-12-03,2019-04-01,44.0,80.0,2019-12-12,302.0,2
2018 Q4,P5 Regime,-0.22838420930749126,-0.2625109630078981,-0.40569689688811017,-0.2173136718104408,1,2018-11-06,2019-02-25,26.0,73.0,2019-12-13,303.0,4
2018 Q4,P6 VolRegime,-0.22838420930749126,-0.31478985524886927,-0.3642413609410129,-0.16271748840896327,1,2018-10-30,2019-02-22,21.0,77.0,2019-11-15,284.0,2
2020 COVID,"Sym(11,237)",-0.2790292986923205,-0.6294408252528095,-0.6890691401151854,-0.0030485296044818755,1,2020-03-17,2020-04-16,19.0,21.0,2020-12-31,220.0,2
2020 COVID,"Sym(3,161)",-0.2790292986923205,-0.3998543650723171,-0.4820587999511935,0.6484158943075351,1,2020-03-10,2020-04-14,14.0,24.0,2020-07-06,95.0,2
2020 COVID,P4 VolAdapt,-0.2790292986923205,-0.697859827700009,-0.6994462516430984,0.48868569098947856,1,no exit,N/A,,,2020-07-20,105.0,0
2020 COVID,P5 Regime,-0.2790292986923205,-0.6585931709746484,-0.6971117046612643,-0.0709628812610742,1,2020-03-19,2020-04-20,21.0,21.0,2021-01-20,232.0,2
2020 COVID,P6 VolRegime,-0.2790292986923205,-0.6978598277000091,-0.6994462516430984,0.4886856909894781,1,no exit,N/A,,,2020-07-20,105.0,0
2022 Bear,"Sym(11,237)",-0.33425729622711553,-0.29976161287325953,-0.4206313459333957,0.8398052132776888,1,2022-01-31,2023-02-08,48.0,257.0,2023-06-02,384.0,4
2022 Bear,"Sym(3,161)",-0.33425729622711553,-0.3392248369163562,-0.34790242718015063,0.9135274055311777,1,2022-01-19,2022-08-16,40.0,144.0,2023-05-18,374.0,6
2022 Bear,P4 VolAdapt,-0.33425729622711553,-0.4092668244932304,-0.49483062999696537,0.9492074012280927,1,2022-02-28,2023-03-10,67.0,259.0,2023-05-26,380.0,2
2022 Bear,P5 Regime,-0.33425729622711553,-0.3627028543028672,-0.43414283777838925,0.9969518964061657,1,2022-02-03,2023-02-10,51.0,256.0,2023-05-26,380.0,4
2022 Bear,P6 VolRegime,-0.33425729622711553,-0.287247600580109,-0.42063134593339546,1.1236560535625242,1,2022-02-01,2023-03-15,49.0,280.0,2023-05-18,374.0,2
2024 Aug Dip,"Sym(11,237)",-0.1344701082913471,-0.36630283008818865,-0.3698831016355314,-0.03183704669038867,1,no exit,N/A,,,2024-11-08,86.0,0
2024 Aug Dip,"Sym(3,161)",-0.1344701082913471,-0.36630283008818865,-0.36829420955616987,-0.0984180953124929,1,2024-08-06,2024-08-09,19.0,3.0,2024-12-11,108.0,2
2024 Aug Dip,P4 VolAdapt,-0.1344701082913471,-0.36630283008818865,-0.3698831016355315,-0.031837046690389226,1,no exit,N/A,,,2024-11-08,86.0,0
2024 Aug Dip,P5 Regime,-0.1344701082913471,-0.36630283008818876,-0.3698831016355316,-0.031837046690389115,1,no exit,N/A,,,2024-11-08,86.0,0
2024 Aug Dip,P6 VolRegime,-0.1344701082913471,-0.36630283008818865,-0.3698831016355313,-0.03183704669038823,1,no exit,N/A,,,2024-11-08,86.0,0
2025 Liberation Day,"Sym(11,237)",-0.2293150718955158,-0.30093594597236095,-0.3606482360668114,0.12186456996440165,1,2025-03-17,2025-05-14,18.0,41.0,2025-09-15,143.0,2
2025 Liberation Day,"Sym(3,161)",-0.2293150718955158,-0.26734279659421045,-0.2957210534887761,0.19562739347050417,1,2025-03-06,2025-05-13,11.0,47.0,2025-08-12,120.0,2
2025 Liberation Day,P4 VolAdapt,-0.2293150718955158,-0.5665712754195491,-0.5665712754195491,-0.2664610892812028,1,2025-04-23,2025-07-02,44.0,48.0,not recovered,,2
2025 Liberation Day,P5 Regime,-0.2293150718955158,-0.31031057994932976,-0.36064823606681085,0.09085669369000926,1,2025-03-19,2025-05-16,20.0,41.0,2025-09-18,146.0,2
2025 Liberation Day,P6 VolRegime,-0.2293150718955158,-0.3009359459723605,-0.3606482360668112,0.11965107305555134,1,2025-03-17,2025-05-15,18.0,42.0,2025-09-15,143.0,2
