crisis,strategy,NDX_dd,pk_to_tr,MaxDD,win_ret,exit_date,reentry,d_exit,d_cash,whipsaws
1987 Black Monday,"Sym(11,237)",-0.3851611165395431,-0.7053831075406221,-0.7692601938263404,-0.7371122411561364,1987-10-22,1988-03-15,14.0,99.0,6
1987 Black Monday,P5 Regime,-0.3851611165395431,-0.8263147743279458,-0.8342634170073175,-0.8164307159304127,1987-10-26,1988-03-24,16.0,104.0,6
1987 Black Monday,Macro(cr70),-0.3851611165395431,-0.8263147743279458,-0.8312516215227539,-0.8094529142162641,1987-10-26,1988-06-09,16.0,157.0,4
1987 Black Monday,Macro(cr60),-0.3851611165395431,-0.8263147743279458,-0.8312516215227539,-0.8094529142162641,1987-10-26,1988-06-09,16.0,157.0,4
1998 LTCM,"Sym(11,237)",-0.22990129300147366,-0.6103505605500059,-0.6103505605500059,1.0710039765125874,stay,N/A,,,0
1998 LTCM,P5 Regime,-0.22990129300147366,-0.6103505605500058,-0.6103505605500058,1.0710039765125905,stay,N/A,,,0
1998 LTCM,Macro(cr70),-0.22990129300147366,-0.6103505605500059,-0.6103505605500059,1.071003976512586,stay,N/A,,,0
1998 LTCM,Macro(cr60),-0.22990129300147366,-0.6103505605500059,-0.6103505605500059,1.0710039765125874,stay,N/A,,,0
2000-02 Dot-com,"Sym(11,237)",-0.8239826046164864,-0.7019354485253086,-0.798701063953684,-0.35570854388508155,2000-09-29,2003-03-24,141.0,619.0,2
2000-02 Dot-com,P5 Regime,-0.8239826046164864,-0.6594100700737957,-0.7987010639536838,-0.3026675991251192,2000-09-28,2003-03-25,140.0,621.0,2
2000-02 Dot-com,Macro(cr70),-0.8239826046164864,-0.6594100700737962,-0.7987010639536838,-0.30266759912512087,2000-09-28,2003-03-25,140.0,621.0,2
2000-02 Dot-com,Macro(cr60),-0.8239826046164864,-0.6594100700737959,-0.7987010639536838,-0.3026675991251201,2000-09-28,2003-03-25,140.0,621.0,2
2007-09 GFC,"Sym(11,237)",-0.5337743060575986,-0.5088068878274289,-0.5833099765418213,0.09475263872015804,2008-01-16,2008-05-12,52.0,80.0,8
