trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,Trades_Yr,CAGR,Sharpe,MDD,Penalized_Score
1,9,96,4,310,0.8487662857673366,14.178416485900218,0.2310076294137806,0.5931499461633483,-0.877586131622389,0.8487662857673366
2,31,263,3,341,0.688299775651894,7.550433839479393,0.15449749182495998,0.48549441493748147,-0.9089616897113699,0.688299775651894
5,31,91,16,160,0.6101372446584575,12.606832971800435,0.12300641413134072,0.4325136680388533,-0.9758803974115864,0.6101372446584575
7,31,63,31,101,0.7983438449453506,14.246746203904555,0.20739164832234702,0.5597099272696947,-0.9287806078244231,0.7983438449453506
8,5,335,49,293,0.8704834607319943,11.035249457700651,0.23893765195861172,0.6032158593144725,-0.8855875161926446,0.8704834607319943
10,3,192,49,274,0.8295317953421493,14.45173535791757,0.21782752430375285,0.574765942813312,-0.9443809988040328,0.8295317953421493
12,10,349,42,283,0.8686309283101429,11.51355748373102,0.238225996299275,0.6023435260506977,-0.8539443332984229,0.8686309283101429
13,10,348,42,267,0.8532192185088752,13.905097613882864,0.23010291504974068,0.5913104875460619,-0.8446924806273649,0.8532192185088752
14,9,293,43,259,0.8784778266220649,12.470173535791757,0.24205308720999263,0.6072548696302371,-0.8446924806273648,0.8784778266220649
15,46,288,44,230,0.7543237048483588,12.265184381778742,0.18384638054340208,0.5262651556863652,-0.9150938964980192,0.7543237048483588
16,7,242,25,244,0.8670219121053562,8.507049891540131,0.238409481343689,0.6030810005833558,-0.7988322183649322,0.8670219121053562
17,14,318,50,301,0.922201803228355,8.233731019522777,0.26531844358062795,0.6380626273247436,-0.8741818580672357,0.922201803228355
18,15,306,32,316,0.8963352607012401,4.065618221258134,0.2525650047776091,0.6215214609080748,-0.8720313093402228,0.8963352607012401
19,16,308,31,314,0.8858009494005344,3.655639913232104,0.2470842075148647,0.6142217268151284,-0.8925374875197305,0.8858009494005344
20,23,246,19,320,0.9128105942486509,4.133947939262473,0.25934505446763323,0.6307055113286357,-0.846301340864392,0.9128105942486509
21,24,248,20,329,0.9781972308405898,4.133947939262473,0.2930849043322761,0.6750052421132792,-0.8446924806273647,0.9781972308405898
22,22,233,21,344,0.9207957609739175,5.773861171366595,0.2649535138700223,0.6379377708341285,-0.8954871060944056,0.9207957609739175
24,39,177,14,345,0.8263522335918468,10.28362255965293,0.21779384137817548,0.5744623441046474,-0.9593333082586777,0.8263522335918468
25,37,236,27,289,0.8669187675661754,4.338937093275488,0.2368432404606029,0.6005438923442551,-0.889703110549391,0.8669187675661754
26,21,269,20,327,0.986172166760646,3.1773318872017353,0.2974446396725554,0.6804434261885648,-0.8566697126361761,0.986172166760646
