trial,fast_buy,slow_buy,fast_sell,slow_sell,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr,Penalized
0,20,336,37,230,0.7935324361713606,0.20221103726434908,0.5598575761214095,-0.8734311767078612,-0.6072161956120941,15.46849147175978,0.484162606736165
1,9,96,4,310,0.8512870067562974,0.2323947803531321,0.603366416468584,-0.877586131622389,-0.4768289213096235,13.25503012971096,0.5861864041620782
2,31,263,3,341,0.6967232628201999,0.1590638488867886,0.4973791617226426,-0.9089616897113699,-0.7302542143609481,7.695638852006946,0.542810485780061
3,42,113,10,105,0.7976965558663761,0.20319481400290162,0.5603543450162423,-0.8554136166065103,-0.7893484235681765,19.483607394546013,0.40802440797545586
4,16,207,23,137,0.6941086610386306,0.16028479156595243,0.49552588678788706,-0.9288210750834255,-0.7855878172846735,15.005208865284446,0.3940044837329416
5,31,91,16,160,0.695316130483634,0.16114585138834814,0.4974674388052415,-0.9758803974115864,-0.9006598515734955,10.88714125217036,0.4775733054402268
6,24,286,11,204,0.7798872720136193,0.1963354974398721,0.5506184757313556,-0.8587308986415944,-0.5844560779202859,14.336022878153408,0.49316681445055116
7,31,63,31,101,0.7761445828747349,0.1970100640028023,0.5522236670732766,-0.9287806078244231,-0.8365770187049559,13.152078439383107,0.5131030140870727
8,5,335,49,293,0.8758384580426215,0.24050775806843716,0.6123896399397022,-0.8855875161926446,-0.5869997794215841,11.350423858645696,0.6488299808697076
9,16,79,35,182,0.7928465563892542,0.20231447120327162,0.5606105945623657,-0.9235281727885076,-0.7753528620546708,19.329179859054236,0.40626295920816946
10,3,192,49,274,0.8364401874322882,0.2203059398623921,0.5849809437720387,-0.9443809988040328,-0.7128375203002449,14.130119497497702,0.5538377974823341
11,2,153,49,345,0.8987700318898657,0.2528131641148983,0.6284918872520651,-0.9672974842468949,-0.7498658646166594,16.703911755694005,0.5646917967759856
12,10,349,42,283,0.8964042741034373,0.2510640845389278,0.6267565594319221,-0.8539443332984229,-0.6244745077063364,11.710754774793179,0.6621891786075736
13,10,348,42,267,0.8807487270188565,0.24271974623364478,0.6155381592566699,-0.8446924806273649,-0.6765865854161532,13.718312736186295,0.6063824722951306
14,9,293,43,259,0.9023294857798422,0.25295789757996356,0.6293044857749369,-0.8446924806273648,-0.5952379318790433,11.401899703809622,0.6742914917036498
15,12,288,41,245,0.8635545874026653,0.23397297652111226,0.603754607181568,-0.8523172666896042,-0.6121615788110852,11.247472168317843,0.6386051440363085
16,44,250,26,220,0.8700552616564313,0.23780647467266958,0.6097297407852575,-0.8404855238318922,-0.7246398499584465,9.394341742416506,0.6821684268081012
17,50,240,23,64,0.47849941485628,0.06873004539513561,0.3377673084037067,-0.9502055274122118,-0.8304165287877366,48.25860484118068,-0.4866726819673336
18,41,233,28,206,0.8292379207695805,0.21980689537920095,0.58503818597626,-0.8207231867533451,-0.6399875276113054,7.644163006843019,0.6763546606327201
19,44,215,27,215,0.8626512886981234,0.23403821796495938,0.6045726729336791,-0.8017731869334951,-0.6536800526279136,6.1513634970891635,0.7396240187563401
20,50,164,22,221,0.7808787469135221,0.19671780769427283,0.5516679511410582,-0.9385606927108542,-0.7182862282381097,10.166479419875396,0.5775491585160142
21,42,238,28,185,0.9207264026795315,0.2609508662803248,0.6418961298346635,-0.7987010639536839,-0.6612190659439823,11.607803084465326,0.6885703409902251
22,43,219,29,170,0.7464825238667855,0.1808826367512657,0.527445838064918,-0.9330479239917674,-0.7167481339350308,13.872740271678072,0.46902771843322405
23,38,173,17,151,0.6851811501176703,0.15533109709430115,0.48890961817782125,-0.8877709547332168,-0.6297128516863518,12.99765090389133,0.4252281320398437
