trial,fast_low,slow_low,fast_high,slow_high,vol_lookback,vol_threshold_pct,Penalized,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr
0,20,336,37,230,35,36.23978081344811,0.8651933656806196,0.899173243286677,0.2536812041500909,0.6324459547214901,-0.8148324856879443,-0.6505695839936608,1.6989938803028732
1,4,310,31,263,22,68.79639408647978,0.8480243546414362,0.8976872526810586,0.25333394672393594,0.6318823381804706,-0.8446924806273648,-0.48387777087075845,2.4831449019811225
2,42,113,10,105,50,50.990257265289515,0.8332068104655945,0.895416124852069,0.2510275584850834,0.6363283493860168,-0.8709258561173098,-0.6681018880867495,3.110465719323722
3,23,137,31,91,49,44.65447373174767,0.7154958208453155,0.7703863923627929,0.19461615012084232,0.5491272508744803,-0.9363414607796241,-0.8100584680764158,2.744528575873872
4,24,286,11,204,79,31.85801650879991,0.8238410087170547,0.8693217679743931,0.24058376399734094,0.6160067013314245,-0.8963317404658716,-0.5675957610322324,2.2740379628669225
5,31,101,5,335,117,62.33589392465844,0.8257895000195169,0.8764979327547103,0.24358969890024507,0.6206109546732457,-0.8666577096048695,-0.5229132508145035,2.5354216367596725
6,16,79,35,182,32,49.80707640445081,0.7439549797243399,0.8072098288063853,0.20885436670628343,0.5698192598443712,-0.8280254555892763,-0.6201302112454941,3.1627424541022715
7,3,323,14,249,51,50.80272084711243,0.9621779170142638,1.0045220721848893,0.3061596940964433,0.7053326422532673,-0.7987010639536838,-0.48947477935307004,2.117207758531273
8,28,105,49,283,114,65.79309401710594,0.8529929564107948,0.9005647850592752,0.25047471331361715,0.6275916172443308,-0.8446924806273648,-0.5989989564339101,2.3785914324240225
9,31,327,6,108,24,43.013213230530575,0.6780468539346258,0.7810320214483693,0.19908798297168517,0.5555036843300315,-0.9372259490867694,-0.8321919971925831,5.14925837568717
10,3,221,19,154,81,57.60988294276581,0.7388821357345924,0.8010914501210669,0.20900967248051194,0.570690360591665,-0.9367394623128493,-0.7775993360864922,3.110465719323722
11,14,250,42,243,52,30.36909492513652,0.8680981662532712,0.9010325091637577,0.2526964105138165,0.6299999979489894,-0.8446924806273648,-0.591056060526483,1.6467171455243232
12,11,248,19,309,61,53.667345437202385,0.8262251331450065,0.8643871495333479,0.23652802920221427,0.6086729603904052,-0.8446924806273648,-0.5049431552932541,1.908100819417073
13,11,176,47,248,67,40.97939893129924,0.8463839008310988,0.8814093131327273,0.24296454847663473,0.6168349577146413,-0.8446924806273646,-0.6261915977869374,1.7512706150814232
14,13,268,21,153,98,30.932876939219305,0.7653760989598052,0.8066747194348597,0.2114858058901865,0.5743215256956983,-0.9406553496447051,-0.8028443493463391,2.064931023752723
15,2,196,41,217,50,47.15737125460983,0.8430618165175129,0.9125898737729843,0.25832699374823087,0.6385182914023692,-0.7987010639536839,-0.5987209842254276,3.4764028627735715
16,7,289,25,288,39,57.0954417899721,0.8669008338721877,0.9008807114782452,0.25440272863877844,0.6333608961004172,-0.8446924806273646,-0.4733712510357725,1.6989938803028732
17,43,239,42,341,60,38.11647805101184,0.8749100775349443,0.8973890734897207,0.2519258141858951,0.6282461629480917,-0.927057331715499,-0.5975148528871919,1.1239497977388238
18,47,156,13,344,79,37.762509484979965,0.917665885648409,0.9516457632544665,0.2817980866430383,0.6701307010812982,-0.8446924806273648,-0.40421905427347393,1.6989938803028732
19,47,154,14,301,89,36.84023909213115,0.8153312995619548,0.8534933159502963,0.232662492857455,0.6040213763938859,-0.8450865521197617,-0.531572704811604,1.908100819417073
20,37,58,2,347,101,55.75285513628134,0.7325864092876045,0.8266845318889945,0.218889076749887,0.5847179477459987,-0.8984843208343436,-0.6653725604221147,4.704906130069495
21,48,219,15,322,63,38.67147621125256,0.8717072903592232,0.9035960985741387,0.25651542199964195,0.6359531330748598,-0.8446924806273647,-0.5171474212596644,1.5944404107457733
22,40,174,23,51,74,46.47731918834724,0.7001966469045815,0.7780889817246209,0.19884162694396257,0.5549101849842634,-0.937435234079767,-0.812010274794646,3.894616741001971
23,50,213,28,349,58,35.70447833540868,0.8823022837572462,0.9100089531898776,0.2582611363790568,0.636665934267976,-0.8781600612980481,-0.6031906783557599,1.3853334716315735
24,50,135,28,278,86,33.82836140668185,0.9148373335885585,0.9414984683256189,0.2747618717408613,0.661400574037285,-0.8446924806273646,-0.5887161274120896,1.3330567368530235
25,37,139,16,268,88,41.92988824809845,0.8924752817212736,0.930637298109615,0.26922813903186604,0.6557651770804287,-0.8136230716830006,-0.5076174012987977,1.908100819417073
26,45,184,9,311,73,35.117997362767866,0.8325708083437185,0.873869428818773,0.24294064342128485,0.6182595866957407,-0.8290394402113866,-0.3724575331448029,2.064931023752723
27,38,155,28,269,104,33.40576168648383,0.9295830877652149,0.9541531531111334,0.28132533824175576,0.6703611561959835,-0.8446924806273648,-0.5422041729146072,1.2285032672959237
28,35,161,18,190,107,39.97735240645564,0.8370504345572184,0.8762579856411309,0.24368140585257847,0.6202320115682203,-0.9181323510716939,-0.6742456363965614,1.960377554195623
29,19,350,13,226,95,60.37151108707919,0.9483419860779567,0.9770941902061592,0.29314005458417713,0.6873995287240948,-0.7987010639536838,-0.43658531955587365,1.4376102064101235
30,18,343,22,221,96,60.983431563269406,0.901626779617599,0.9345611225280854,0.2720134456349812,0.6580767447674287,-0.7987010639536838,-0.5660027446205488,1.6467171455243232
31,20,350,12,249,108,50.9315925519941,0.9418742646657126,0.977945211662912,0.2929040158948517,0.6875174606429942,-0.7987010639536839,-0.4582460606032682,1.8035473498599732
32,21,350,6,249,106,51.408629040460085,0.9197657745172271,0.9652465337745655,0.2853659688281054,0.6770024529380027,-0.7987010639536839,-0.42181553333373967,2.2740379628669225
33,8,319,33,226,111,59.31067636716633,0.8408044756351892,0.8768754226323887,0.24278979379281806,0.6176420265307548,-0.798701063953684,-0.605901947048254,1.8035473498599732
34,19,303,26,262,94,69.63910655147282,0.873683986403881,0.9013906558365125,0.2556305311138847,0.6353149950494803,-0.8449565034102982,-0.5158510755484721,1.3853334716315735
35,28,334,10,203,106,65.11048050307554,0.8315593514128945,0.8780856453658039,0.24669668004134815,0.6240017316822859,-0.9194386090100615,-0.6948255167097942,2.3263146976454725
36,23,305,11,168,120,52.9058230936505,0.7510609992976098,0.7996783626416613,0.20856777802897053,0.5701461107541601,-0.951260448908296,-0.8287268220892341,2.4308681672025725
37,26,285,2,237,43,48.46713947578498,0.8107128614172093,0.8886051962372488,0.2497350859621228,0.6297452554573493,-0.8422550292329953,-0.5268980587219638,3.894616741001971
38,33,320,17,259,101,45.681825993485695,0.8881079552370811,0.9199967634519965,0.2646478332753772,0.6484879599673197,-0.7987010639536839,-0.507256608870386,1.5944404107457733
39,16,350,7,216,92,54.926598532036415,0.9007857132794971,0.9420843337545516,0.2758633586535826,0.6659791063262146,-0.8730519333852131,-0.44949135831040554,2.064931023752723
40,6,334,12,296,112,65.3681905086965,0.8547284538543449,0.8928904702426864,0.2522847379178961,0.6311831553834342,-0.8290394402113868,-0.40661500933532124,1.908100819417073
41,22,340,8,246,106,50.816929185071224,0.8700818688608992,0.9134715587270956,0.2616330910642488,0.644957502097706,-0.798701063953684,-0.42095591710504776,2.1694844933098225
42,20,314,4,274,102,52.58694028165489,0.8200561577206543,0.8801744027159868,0.2451053675768191,0.6216134082018046,-0.8036842080179053,-0.5157736972648086,3.005912249766622
43,26,347,6,255,119,43.33737043587664,0.8669074055189968,0.9165703035586192,0.261346467059679,0.6439603592280686,-0.823662231663877,-0.4772373252646819,2.4831449019811225
44,21,295,30,233,115,47.98822222895727,0.8545333728646551,0.8843311116884286,0.24688032310200847,0.6235513223461635,-0.8241261601483666,-0.604501621092004,1.4898869411886735
45,17,269,4,190,27,49.873247675346946,0.789444687598325,0.8547906060715124,0.23403865960948322,0.6075858813381487,-0.9370137775356635,-0.679740136889708,3.2672959236593715
46,29,323,20,206,85,51.92423469554831,0.8712705924245572,0.9052504700306147,0.2572014650880914,0.638530211911523,-0.822239747387796,-0.5745903907437211,1.6989938803028732
47,24,120,12,236,107,61.912744697336876,0.8814436448014111,0.9227422652764656,0.26444633197831413,0.6507641825409312,-0.7987010639536839,-0.5105614379769676,2.064931023752723
48,10,272,9,290,109,44.670651403222834,0.8441522885183116,0.8823143049066531,0.24633841943051205,0.6231403681957978,-0.8136230716830007,-0.4751655242757592,1.908100819417073
49,13,328,38,252,98,59.29903058187038,0.9095924660295832,0.9393902048533567,0.2721251755453753,0.6559685239400328,-0.8446924806273647,-0.5910560605264834,1.4898869411886735
50,15,349,14,280,44,55.024325725415785,0.8556845739043943,0.8938465902927358,0.2528561745044102,0.6319774044976026,-0.8136230716830006,-0.5056335411332975,1.908100819417073
51,40,88,14,322,81,32.81831198442782,0.8102520772523737,0.8473685589451442,0.22869571831880764,0.5980590856402471,-0.8687058253501293,-0.5666062709366414,1.855824084638523
52,31,156,24,139,91,49.07814319987528,0.7740442490877857,0.8153428695628402,0.21549792049740568,0.5804652560535919,-0.9293461069126207,-0.7531742187312489,2.064931023752723
53,42,120,12,267,69,31.886647311984525,0.8435590216921655,0.8890397809495039,0.24909762929317636,0.6274496598050507,-0.798701063953684,-0.5586963155401079,2.2740379628669225
54,5,199,16,321,102,57.194314514949035,0.8441021589734161,0.8937650570130385,0.2509852312976939,0.6294734714951796,-0.8446924806273647,-0.4310818673676934,2.4831449019811225
55,46,146,7,218,80,51.50793101734638,0.9374948259390663,0.9787934464141208,0.29193401939871855,0.690561694061883,-0.8704317576029453,-0.4287609352356144,2.064931023752723
56,44,144,5,211,83,51.402120313167956,0.8488539379328076,0.9047900441458561,0.25727617536415526,0.6417348462137222,-0.8806710947512307,-0.5719412535884376,2.796805310652422
57,25,331,7,241,77,66.93883226656507,0.9283837885928035,0.970727943763429,0.2913910504952322,0.6850291755964498,-0.7987010639536839,-0.45758640130953754,2.117207758531273
58,26,307,10,225,76,67.98953929045493,0.9165662857471525,0.954728302135494,0.28200877487501375,0.6724450094991298,-0.7987010639536838,-0.4762611121635112,1.908100819417073
59,36,332,8,193,65,67.24631470429347,0.749298393401211,0.8031434302231174,0.2096007376566611,0.5708407309048649,-0.9450556679302754,-0.7248213866913409,2.692251841095322
60,40,168,19,241,55,59.029061005745966,0.9130344643385315,0.945968807249018,0.2769702082379195,0.6664258332051824,-0.7987010639536838,-0.5630569490919841,1.6467171455243232
61,21,185,7,176,76,64.26398659877145,0.746233810933545,0.7958967089731674,0.2079494006639122,0.5690336946807903,-0.9492283065221183,-0.7645961779164765,2.4831449019811225
62,25,315,2,252,96,54.53090957623656,0.7533576328511178,0.8364776411490122,0.22441458348828647,0.5920871001553618,-0.8614363236740274,-0.5334305236177426,4.156000414894721
63,28,233,4,226,70,53.74050684076398,0.838591304250901,0.8882542022905234,0.24963464878599617,0.6295554868702471,-0.8043017603627154,-0.43668582963274893,2.4831449019811225
64,18,338,6,269,104,46.53892299069131,0.8345239193350916,0.883141282679143,0.24663504434386407,0.6238945386055822,-0.798701063953684,-0.48054003119073696,2.4308681672025725
65,33,327,32,246,98,63.97511639020042,0.8907211355867553,0.9184278050193867,0.26436120768679783,0.6471197753299115,-0.8449565034102982,-0.5481522658846567,1.3853334716315735
66,23,131,9,214,114,56.009801785576016,0.8396298980633548,0.8872017267118352,0.2489374744622932,0.6291036361786967,-0.8363138405642032,-0.6379631400844343,2.3785914324240225
67,13,295,28,261,90,50.98790904360515,0.8589788211547014,0.8845944211961908,0.2474625021797776,0.6243549587168592,-0.8449565034102982,-0.5206088705513899,1.2807800020744737
68,30,96,11,234,78,49.97057217740203,0.9027549493083824,0.9492812432612918,0.27693544660227887,0.6678892254670777,-0.7987010639536838,-0.5313466486199911,2.3263146976454725
