fast_low,slow_low,fast_high,slow_high,vol_lookback,vol_threshold_pct,sortino,trades_yr,penalised
42,130,12,240,40,70.0,1.0506985,2.2613153,1.0054722
42,130,12,230,40,70.0,1.0473645,2.2613153,1.0021381
50,120,12,240,40,70.0,1.0444694,2.360714,0.9972551
50,120,12,60,60,60.0,1.0712278,3.801992,0.99518794
42,140,12,240,40,70.0,1.0369221,2.1122177,0.9946777
42,130,12,250,40,70.0,1.0434331,2.4601123,0.9942308
50,120,12,230,40,70.0,1.0411323,2.360714,0.99391806
42,130,22,260,40,70.0,1.036113,2.2116163,0.9918807
42,140,12,230,40,70.0,1.0335791,2.1122177,0.99133474
42,130,22,250,40,70.0,1.033896,2.2613153,0.98866963
50,120,12,250,40,70.0,1.0372288,2.559511,0.98603857
42,140,22,260,40,70.0,1.0231295,1.96312,0.9838671
42,140,12,250,40,70.0,1.0297023,2.3110147,0.983482
42,120,12,240,40,70.0,1.0301663,2.4104133,0.981958
50,120,22,260,40,70.0,1.0295209,2.4104133,0.9813126
50,120,22,260,60,70.0,1.021173,2.0128193,0.98091656
42,120,22,260,60,70.0,1.0229194,2.161917,0.97968113
42,140,22,250,40,70.0,1.0206487,2.0625186,0.97939837
42,120,12,230,40,70.0,1.0268172,2.4104133,0.9786089
50,120,22,250,40,70.0,1.027295,2.4601123,0.97809273
42,130,22,260,60,70.0,1.0154407,1.9134208,0.97717226
42,130,2,310,120,70.0,1.0161934,1.96312,0.976931
50,120,2,310,120,70.0,1.0171432,2.0128193,0.9768868
42,130,22,280,40,70.0,1.0210541,2.3110147,0.97483385
42,120,2,310,120,70.0,1.0177925,2.161917,0.9745541
42,130,50,250,80,70.0,1.0109634,1.8637215,0.9736891
42,140,12,230,20,70.0,1.0216539,2.4104133,0.9734456
42,130,12,60,40,70.0,1.0563635,4.1498866,0.9733657
42,130,12,230,20,70.0,1.023293,2.5098116,0.9730967
50,120,50,250,80,70.0,1.0108997,1.9134208,0.9726313
