strategy,CAGR,Sharpe,Sortino,Volatility,MDD,MDD_Entry,Max_Recovery_Days,Trades_Yr
"P5 Optuna (48,323,15,229)",0.3491726162200026,0.7622195420365723,1.0881665033587489,0.5712008291749127,-0.7987010639536839,-0.3923406717773349,2452,1.6989938803028732
"P1 peak (45,120,47,214)",0.3546841509248351,0.7710900010283361,1.106141812579349,0.5652457967458536,-0.7987010639536839,-0.5899320929636518,1419,1.4898869411886735
"P1 robust (50,119,47,213)",0.3379629173065899,0.7489829522865512,1.072549424088003,0.5657300994081501,-0.7987010639536838,-0.5899320929636518,1825,1.4376102064101235
"P2 peak (46,125,24,251)",0.34316931609584245,0.754711377590797,1.0773885074334264,0.569945000250997,-0.8136230716830005,-0.49216453276271177,1903,1.908100819417073
"P2 robust (47,130,24,250)",0.33941853235179265,0.7496372107444164,1.070142498405926,0.5704414733743222,-0.826031404148597,-0.4921837023169875,2531,1.960377554195623
"P3 peak (45,120,32,256)",0.32639477093203584,0.7331268302387454,1.0505010526857046,0.5668039959066548,-0.8446924806273646,-0.48182939611783804,1909,1.4376102064101235
"P3 robust (47,125,27,255)",0.3109640079104976,0.7132179827681111,1.016690155363878,0.5653703686469839,-0.8290394402113868,-0.4515150071824875,2524,1.3330567368530235
"P4 peak (45,125,37,276)",0.3291446949698036,0.7327026308360776,1.057365338662954,0.5785743644345157,-0.8446924806273648,-0.5863361034934707,2451,1.960377554195623
"P4 robust (45,128,34,277)",0.31729931625677144,0.7174048662789733,1.0340784266863317,0.5779207889542343,-0.8446924806273648,-0.6034699615697589,2450,1.908100819417073
"P5 peak (46,129,46,215)",0.3447294839710413,0.7539011059172921,1.083694931778139,0.576831788552123,-0.7987010639536838,-0.570294833304015,1452,1.960377554195623
"P5 robust (46,134,46,213)",0.33741488921883867,0.7445763467213966,1.0695394261465814,0.576421816180929,-0.7987010639536838,-0.5737052693439779,1836,1.908100819417073
"Sym (3,161) baseline",0.23668009787805944,0.6125056254184217,0.8607289155721145,0.5393862570472635,-0.9692586837660164,-0.871595561176768,4964,4.208277149673271
B&H 3x,0.14190823709847278,0.5293221833365408,0.7580252981743159,0.7907136963904864,-0.9997422234330884,-0.9997422234330884,6479,0.0
