trial,base_fast,base_slow,vol_lookback,vol_scale,Penalized,Sortino,CAGR,Sharpe,MDD,MDD_Entry,Trades_Yr
0,20,336,93,1.1973169683940732,0.8316620002070011,0.8520499267706356,0.2277261293416908,0.5962226303873502,-0.9532689496461502,-0.5142248786806393,1.019396328181724
1,9,96,25,1.7323522915498704,0.7020846830872192,0.8332992873813796,0.2192944472260301,0.584391404717513,-0.9534232970732881,-0.6212601900858014,6.560730214708018
2,31,263,22,1.9398197043239886,0.6266586740133906,0.727552772135992,0.16042147766969395,0.5072243267313267,-0.9643373558301475,-0.738296530453322,5.04470490613007
3,42,113,38,0.36680901970686763,0.8914748377155297,0.9296368541038712,0.2671036090255756,0.6513994960622838,-0.8270326342273839,-0.5866613256152986,1.908100819417073
4,16,207,63,0.5824582803960838,0.8959036745765705,0.927792482791486,0.2673420776341686,0.6503426775517431,-0.8926328039078866,-0.47122406614045464,1.5944404107457733
5,31,91,49,0.7327236865873834,0.8044054624393129,0.8582504992612193,0.23204167253760577,0.6028939352145954,-0.8390513170996095,-0.6150333306632937,2.692251841095322
6,24,286,40,1.0284688768272232,0.7933340273959061,0.8220862315241085,0.20905122098933027,0.5709179345180154,-0.9609119738422273,-0.6724838585593753,1.4376102064101235
7,31,63,81,0.34104824737458306,0.6478915077171093,0.7205561690592938,0.17169869385946357,0.5130993454695667,-0.924145593470236,-0.6711201409392817,3.633233067109221
8,5,335,117,1.6167946962329223,0.8682964849326993,0.9064585013210408,0.2578173732282245,0.6362659526349961,-0.9287531208649608,-0.3458723138821186,1.908100819417073
9,16,79,89,0.8803049874792026,0.7146814089506621,0.7946648131618436,0.20194021100360238,0.5594852051045679,-0.8338011030804333,-0.6373171150063801,3.999170210559071
10,48,167,63,0.03592375122963998,0.9104853106348019,0.9402830494585753,0.27080679085637516,0.6558526157846565,-0.8315315520539452,-0.5987209842254275,1.4898869411886735
11,47,179,62,0.03624486423948525,0.916176169655309,0.9428373043923695,0.27349159440731174,0.6589528108588999,-0.7987010639536839,-0.6096207498075201,1.3330567368530235
12,50,164,61,0.0096545899582842,0.8910508747886151,0.9208486136123886,0.2626118434589737,0.6455240765384347,-0.7987010639536839,-0.5987209842254275,1.4898869411886735
13,44,180,74,0.04004256422848767,0.9188924943318982,0.9465991637645297,0.27522893148890337,0.661408394922182,-0.798701063953684,-0.6096207498075201,1.3853334716315735
14,40,213,77,0.2881825354431874,0.8650708970580714,0.8885954277084188,0.2465405330518604,0.6214170233193704,-0.8832129155084842,-0.5987209842254275,1.1762265325173737
15,40,147,100,1.3053624004499618,0.7776861772856,0.8158481936739415,0.20693497940869965,0.5658914071537128,-0.9609119738422274,-0.5899320929636517,1.908100819417073
